name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
activation-1.0.2.jar,"CDDL-1.0",-,-,-,Java,-,-,-
bcprov-jdk15on-151.jar,"BouncyCastle License",-,-,-,Java,-,-,-
commons-lang3-3.2.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-1.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
csi-apachesoap-1.2.2.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-core-1.2.2.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-1.2.2.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-rmi-1.2.2.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-stadapter-1.2.2.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
cxf-utils.js,"Apache-2.0",-,-,-,Javascript,-,-,-
cxf-2.7.14.jar,"Apache-2.0",-,-,-,Java,-,-,-
deleghebe-itf-1.2.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
iridev2-pep-intf-2.0.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
j2ee-1.3.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jackson-core-asl-1.9.9.redhat-4.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jackson-mapper-asl-1.9.9.redhat-4.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jaxp-1.1.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jcert-1.0.3.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jettison-1.3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
jms-1.0.2b.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jndi-1.2.1.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jnet-1.0.3.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
jsse-1.0.3.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
mail-1.2.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
neethi-3.0.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
soap-2.3.1.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
spring-core-4.1.2.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-expression-4.1.2.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-tx-4.1.2.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-web-4.1.2.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
swagger-jaxrs-1.5.18.jar,"Apache-2.0",-,-,-,Java,-,-,-
validation-api-1.0.0.GA-redhat-3.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
wsdl4j-1.6.3.redhat-1.jar,"CPL ",Redhat,-,-,Java,-,-,-
wss4j-1.6.17.jar,"Apache-2.0",-,-,-,Java,-,-,-
wss4j-policy-2.2.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmlschema-core-2.0.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmlsec-1.5.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
cglib-2.2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
jackson-datatype-joda-2.10.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
util-perf-1.0.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
